,ce_ltp,strike,pe_ltp,futures_price,sigma_ce,delta_ce,gamma_ce,theta_ce,vega_ce,premia_ce,sigma_pe,delta_pe,gamma_pe,theta_pe,vega_pe,premia_pe
23,764.1,45500.0,104.8,46159.299999999996,0.20308509070861447,0.7854016215083204,0.0003434333343038277,-41.34224888134049,12.214264100950125,764.1,0.2030850907086109,-0.21459837849167565,0.00034343333430383004,-41.34224888133931,12.214264100949993,104.8
24,683.55,45600.0,123.05,46160.5,0.19910993627990864,0.7535824485399197,0.00037844383470890677,-43.79307589422482,13.196652074458164,683.55,0.19910993627990867,-0.24641755146008026,0.0003784438347089067,-43.79307589422482,13.196652074458164,123.05000000000004
25,602.0,45700.0,146.55,46155.45,0.19549177506847423,0.7151168873859916,0.00041494430080147486,-46.27750144334576,14.203411297627115,602.0,0.19549177506847215,-0.2848831126140064,0.00041494430080147785,-46.277501443345116,14.203411297627067,146.54999999999993
26,532.95,45800.0,174.0,46158.95,0.19372911614690688,0.6748238430293678,0.00044404889946038427,-48.64179290642839,15.06488870868831,532.95,0.1937291161469049,-0.3251761569706306,0.0004440488994603879,-48.6417929064278,15.06488870868828,173.99999999999994
27,463.65,45900.0,204.95,46158.700000000004,0.1908267351847409,0.6306290745143309,0.00047255089581533236,-50.22400121260441,15.79149834450047,463.65000000000003,0.19082673518474363,-0.36937092548567085,0.0004725508958153262,-50.22400121260521,15.791498344500495,204.94999999999996
28,403.7,46000.0,244.8,46158.899999999994,0.19078098246607247,0.5823939974575552,0.0004889998414271478,-51.94777149340457,16.337405591034535,403.7,0.19078098246606895,-0.41760600254244346,0.0004889998414271564,-51.94777149340356,16.337405591034518,244.8000000000001
29,345.0,46100.0,287.0,46158.0,0.18889727204581125,0.5326697412795163,0.0005029950623526603,-52.38249733696021,16.638407776769725,345.0,0.18889727204581125,-0.4673302587204838,0.0005029950623526603,-52.38249733696021,16.638407776769725,287.0
30,292.25,46200.0,335.0,46157.25,0.18750259081817755,0.48167104917846776,0.0005079137686684462,-52.114853830687196,16.676522794681798,292.25,0.18750259081817755,-0.5183289508215323,0.0005079137686684462,-52.114853830687196,16.676522794681798,335.0
31,247.45,46300.0,389.5,46157.95,0.18742054631407928,0.4315832138207409,0.0005011667954363127,-51.37914263264074,16.448295656936015,247.44999999999996,0.18742054631407754,-0.5684167861792598,0.0005011667954363172,-51.37914263264026,16.448295656936008,389.49999999999994
32,205.65,46400.0,448.7,46156.950000000004,0.18654798204709613,0.38129537217726894,0.00048826204235721804,-49.58900805766265,15.949464855152394,205.64999999999998,0.18654798204709894,-0.6187046278227293,0.0004882620423572113,-49.58900805766347,15.949464855152415,448.70000000000005
33,168.8,46500.0,511.3,46157.5,0.18528269595557706,0.33297505779494685,0.0004687569256163699,-46.965517971571224,15.20881949477837,168.79999999999998,0.18528269595557706,-0.6670249422050532,0.0004687569256163699,-46.965517971571224,15.20881949477837,511.29999999999995
34,138.2,46600.0,580.25,46157.95,0.18507148632387066,0.2878495152538143,0.0004404440410750149,-44.02911224771005,14.274196351563361,138.19999999999996,0.1850714863238686,-0.7121504847461879,0.00044044404107501813,-44.0291122477094,14.27419635156331,580.2499999999999
35,114.65,46700.0,663.25,46151.4,0.18823558138654728,0.24701466686478324,0.00040090466642961966,-41.446842466321215,13.211160874375471,114.65000000000002,0.18823558138654833,-0.7529853331352155,0.0004009046664296185,-41.44684246632156,13.211160874375508,663.25
36,93.05,46800.0,734.2,46158.850000000006,0.1874918448976559,0.21097590132817287,0.00036832074110101795,-37.79010000891985,12.093357989905508,93.05,0.18749184489766077,-0.789024098671821,0.0003683207411010146,-37.79010000892147,12.093357989905712,734.2
37,75.4,46900.0,814.65,46160.75,0.18831402164861177,0.17824541735204408,0.00033091616793151906,-34.25359478784535,10.913768763887859,75.39999999999996,0.18831402164861175,-0.821754582647956,0.000330916167931519,-34.25359478784533,10.913768763887857,814.6499999999999
38,61.0,47000.0,899.0,46162.0,0.18961134517287379,0.14964078716520868,0.0002933554064674674,-30.787123109629803,9.742177531062929,60.99999999999997,0.18961134517287379,-0.8503592128347913,0.0002933554064674674,-30.787123109629803,9.742177531062929,899.0
39,48.85,47100.0,957.1,46191.75,0.18653862747381203,0.12653269638659073,0.00026576814409861975,-27.030025135435043,8.69418591789406,48.84999999999999,0.1865386274738121,-0.8734673036134091,0.00026576814409861975,-27.03002513543506,8.694185917894062,957.1
